kernel,type,n,gops,peak_gops,efficiency,seconds,reps,correct
v0_naive,int16,64,2.39868,160,0.0149917,0.000218574,15,1
v1_ikj,int16,64,36.0137,160,0.225086,1.4558e-05,15,1
v2_blocked,int16,64,42.4078,160,0.265049,1.2363e-05,15,1
v3_packed,int16,64,31.5817,160,0.197386,1.6601e-05,15,1
v4_regtile,int16,64,18.9788,160,0.118617,2.7625e-05,15,1
v5_micro,int16,64,29.6057,160,0.185036,1.7709e-05,15,1
v0_naive,int16,128,1.88897,160,0.0118061,0.00222042,15,1
v1_ikj,int16,128,43.2318,160,0.270199,9.7019e-05,15,1
v2_blocked,int16,128,43.3856,160,0.27116,9.6675e-05,15,1
v3_packed,int16,128,38.0767,160,0.23798,0.000110154,15,1
v4_regtile,int16,128,21.287,160,0.133044,0.000197036,15,1
v5_micro,int16,128,36.5001,160,0.228126,0.000114912,15,1
v0_naive,int16,256,1.59829,160,0.00998933,0.0209939,4,1
v1_ikj,int16,256,43.3505,160,0.270941,0.000774026,15,1
v2_blocked,int16,256,45.195,160,0.282469,0.000742437,15,1
v3_packed,int16,256,41.7765,160,0.261103,0.00080319,15,1
v4_regtile,int16,256,21.49,160,0.134312,0.0015614,15,1
v5_micro,int16,256,36.5212,160,0.228258,0.000918765,15,1
v0_naive,int16,512,1.55638,160,0.00972739,0.172474,1,1
v1_ikj,int16,512,49.2641,160,0.307901,0.00544891,15,1
v2_blocked,int16,512,44.3869,160,0.277418,0.00604763,15,1
v3_packed,int16,512,41.6118,160,0.260073,0.00645095,15,1
v4_regtile,int16,512,21.6401,160,0.135251,0.0124045,8,1
v5_micro,int16,512,37.15,160,0.232187,0.00722572,13,1
v0_naive,int16,1024,1.37783,160,0.00861143,1.5586,1,1
v1_ikj,int16,1024,49.5725,160,0.309828,0.04332,2,1
v2_blocked,int16,1024,43.9535,160,0.27471,0.0488581,2,1
v3_packed,int16,1024,41.375,160,0.258594,0.0519029,1,1
v4_regtile,int16,1024,21.5493,160,0.134683,0.0996544,1,1
v5_micro,int16,1024,37.0872,160,0.231795,0.0579036,1,1
v0_naive,int16,2048,0.993468,160,0.00620917,17.2928,1,1
v1_ikj,int16,2048,48.1447,160,0.300904,0.356839,1,1
v2_blocked,int16,2048,43.7593,160,0.273496,0.392599,1,1
v3_packed,int16,2048,36.0493,160,0.225308,0.476566,1,1
v4_regtile,int16,2048,13.8727,160,0.0867042,1.2384,1,1
v5_micro,int16,2048,35.3959,160,0.221225,0.485363,1,1
v0_naive,int32,64,12.1871,80,0.152338,4.302e-05,15,1
v1_ikj,int32,64,31.9649,80,0.399561,1.6402e-05,15,1
v2_blocked,int32,64,31.9201,80,0.399002,1.6425e-05,15,1
v3_packed,int32,64,27.338,80,0.341725,1.9178e-05,15,1
v4_regtile,int32,64,19.0858,80,0.238573,2.747e-05,15,1
v5_micro,int32,64,29.4676,80,0.368345,1.7792e-05,15,1
v0_naive,int32,128,6.18747,80,0.0773433,0.000677871,15,1
v1_ikj,int32,128,32.7729,80,0.409661,0.000127981,15,1
v2_blocked,int32,128,34.1795,80,0.427244,0.000122714,15,1
v3_packed,int32,128,32.6024,80,0.407531,0.00012865,15,1
v4_regtile,int32,128,20.5052,80,0.256315,0.000204548,15,1
